,Unnamed: 0,Date,Country,Activity,Hemispheres,Months,Activities
3165,3165,Nov-1976,SOUTH AFRICA,Fishing for white shark,Hemisphere-S,nov,fishing
3167,3167,18-Oct-1976,USA,Surfing,Hemisphere-N,oct,surfing
3168,3168,06-Oct-1976,SOUTH AFRICA,Surfing,Hemisphere-S,oct,surfing
3172,3172,12-Sep-1976,USA,Swimming,Hemisphere-N,sep,swimming
3173,3173,12-Sep-1976,USA,Swimming,Hemisphere-N,sep,swimming
3174,3174,06-Sep-1976,USA,Surfing,Hemisphere-N,sep,surfing
3175,3175,26-Aug-1976,USA,"Surfing, fell off surfboard",Hemisphere-N,aug,surfing
3176,3176,24-Aug-1976,USA,Surfing,Hemisphere-N,aug,surfing
3177,3177,24-Jul-1976,USA,Spearfishing,Hemisphere-N,jul,spearfishing
3180,3180,12-Jul-1976,USA,Spearfishing,Hemisphere-N,jul,spearfishing
3182,3182,10-Jun-1976,USA,Swimming,Hemisphere-N,jun,swimming
3185,3185,02-May-1976,SOUTH AFRICA,Competing in a light tackle game fishing,Hemisphere-S,may,fishing
3188,3188,12-Mar-1976,SOUTH AFRICA,Fishing,Hemisphere-S,mar,fishing
3192,3192,13-Jan-1976,SOUTH AFRICA,Shark fishing,Hemisphere-S,jan,fishing
3194,3194,11-Jan-1976,SOUTH AFRICA,Fishing for snoek & yellowtail,Hemisphere-S,jan,fishing
3195,3195,08-Jan-1976,USA,Spearfishing / scuba diving,Hemisphere-N,jan,spearfishing
3196,3196,02-Jan-1976,NEW ZEALAND,Spearfishing,Hemisphere-S,jan,spearfishing
3199,3199,06-Dec-1975,USA,Scuba diving & spearfishing,Hemisphere-N,dec,spearfishing
3204,3204,02-Nov-1975,USA,Surfing,Hemisphere-N,nov,surfing
3205,3205,21-Oct-1975,USA,Surf fishing,Hemisphere-N,oct,fishing
3206,3206,12-Oct-1975,AUSTRALIA,Surfing,Hemisphere-S,oct,surfing
3207,3207,04-Oct-1975,USA,Surfing,Hemisphere-N,oct,surfing
3209,3209,17-Aug-1975,SOUTH AFRICA,Surfing,Hemisphere-S,aug,surfing
3216,3216,26-Jul-1975,AUSTRALIA,Surfing,Hemisphere-S,jul,surfing
3219,3219,15-Jul-1975,USA,Swimming,Hemisphere-N,jul,swimming
3220,3220,5-Jul-1975,AUSTRALIA,Spearfishing,Hemisphere-S,jul,spearfishing
3221,3221,04-Jul-1975,USA,Surfing,Hemisphere-N,jul,surfing
3222,3222,23-Jun-1975,USA,Swimming ,Hemisphere-N,jun,swimming
3224,3224,15-Jun-1975,USA,Swimming near his boat,Hemisphere-N,jun,swimming
3227,3227,25-May-1975,USA,Surfing,Hemisphere-N,may,surfing
3228,3228,20-May 1975,USA,Bathing,Hemisphere-N,may,bathing
3231,3231,05-Apr-1975,SOUTH AFRICA,Spearfishing Competition,Hemisphere-S,apr,spearfishing
3232,3232,29-Mar-1975,SOUTH AFRICA,Swimming,Hemisphere-S,mar,swimming
3238,3238,23-Feb-1975,SOUTH AFRICA,Surfing,Hemisphere-S,feb,surfing
3240,3240,10-Feb-1975,AUSTRALIA,Swimming underwater from crayfish cage to a fishing bait,Hemisphere-S,feb,swimming
3243,3243,01-Feb-1975,SOUTH AFRICA,Fishing,Hemisphere-S,feb,fishing
3244,3244,19-Jan-1975,AUSTRALIA,Surfing,Hemisphere-S,jan,surfing
3249,3249,28-Sep-1974,USA,Surfing,Hemisphere-N,sep,surfing
3254,3254,01-Sep-1974,AUSTRALIA,3.3 m fishing boat sank. Treveluwe & Peter Hodgson (wearing lifejackets) were drifting in the current,Hemisphere-S,sep,fishing
3255,3255,Sep-1974,USA,Surfing,Hemisphere-N,sep,surfing
3261,3261,05-Aug-1974,USA,Surfing,Hemisphere-N,aug,surfing
3263,3263,20-Jul-1974,USA,Swimming,Hemisphere-N,jul,swimming
3265,3265,20-Jun-1974,USA,Swimming,Hemisphere-N,jun,swimming
3268,3268,20-Apr-1974,SOUTH AFRICA,Spearfishing,Hemisphere-S,apr,spearfishing
3270,3270,12-Apr-1974,USA,Swimming,Hemisphere-N,apr,swimming
3271,3271,04-Apr-1974,SOUTH AFRICA,Surfing,Hemisphere-S,apr,surfing
3272,3272,21-Mar-1974,SOUTH AFRICA,Surfing,Hemisphere-S,mar,surfing
3273,3273,Mar-1974,SOUTH AFRICA,Fishing for kob,Hemisphere-S,mar,fishing
3274,3274,13-Feb-1974,SOUTH AFRICA,Swimming,Hemisphere-S,feb,swimming
3275,3275,13-Feb-1974,SOUTH AFRICA,Swimming,Hemisphere-S,feb,swimming
3276,3276,Feb-1974,SOUTH AFRICA,Fishing for red fish,Hemisphere-S,feb,fishing
3280,3280,07-Jan-1974,SOUTH AFRICA,Swimming,Hemisphere-S,jan,swimming
3288,3288,18-Dec-1973,USA,Swimming,Hemisphere-N,dec,swimming
3291,3291,24-Nov-1973,USA,Surfing,Hemisphere-N,nov,surfing
3293,3293,29-Sep-1973,SOUTH AFRICA,Being pulled to shore from wreck of 25-ton fishing vessel Alan S,Hemisphere-S,sep,fishing
3299,3299,25-Aug-1973,AUSTRALIA,Surfing,Hemisphere-S,aug,surfing
3305,3305,Mar-1973,SOUTH AFRICA,Spearfishing,Hemisphere-S,mar,spearfishing
3307,3307,21-Jan-1973,SOUTH AFRICA,Fishing from paddleski,Hemisphere-S,jan,fishing
3308,3308,09-Jan-1973,USA,Surfing,Hemisphere-N,jan,surfing
3315,3315,24-Dec-1972,SOUTH AFRICA,Swimming,Hemisphere-S,dec,swimming
3319,3319,21-Oct-1972,AUSTRALIA,Spearfishing,Hemisphere-S,oct,spearfishing
3320,3320,21-Oct-1972,AUSTRALIA,Surfing,Hemisphere-S,oct,surfing
3322,3322,14-Oct-1972,USA,Surfing,Hemisphere-N,oct,surfing
3324,3324,09-Sep-1972,USA,Surfing,Hemisphere-N,sep,surfing
3326,3326,29-Aug-1972,USA,Surfing,Hemisphere-N,aug,surfing
3327,3327,17-Aug-1972,USA,Spearfishing,Hemisphere-N,aug,spearfishing
3332,3332,10-Jun-1972,USA,Surfing,Hemisphere-N,jun,surfing
3339,3339,16-Mar-1972,USA,Spearfishing,Hemisphere-N,mar,spearfishing
3340,3340,20-Feb-1972,AUSTRALIA,Surfing,Hemisphere-S,feb,surfing
3342,3342,01-Jan-1972,SOUTH AFRICA,Swimming,Hemisphere-S,jan,swimming
3348,3348,16-Dec-1971,SOUTH AFRICA,Swimming,Hemisphere-S,dec,swimming
3352,3352,23-Oct-1971,USA,Surfing,Hemisphere-N,oct,surfing
3353,3353,14-Oct-1971,SOUTH AFRICA,Swimming,Hemisphere-S,oct,swimming
3355,3355,25-Sep-1971,USA,Surfing,Hemisphere-N,sep,surfing
3357,3357,05-Sep-1971,AUSTRALIA,Fishing,Hemisphere-S,sep,fishing
3361,3361,30-Jun-1971,SOUTH AFRICA,Surfing,Hemisphere-S,jun,surfing
3364,3364,11-Apr-1971,SOUTH AFRICA,Swimming,Hemisphere-S,apr,swimming
3369,3369,30-Mar-1971,NEW ZEALAND,Surfing,Hemisphere-S,mar,surfing
3370,3370,02-Jan-1971,AUSTRALIA,Swimming,Hemisphere-S,jan,swimming
3379,3379,24-Oct-1970,USA,Body surfing,Hemisphere-N,oct,surfing
3380,3380,Oct-1970,USA,Surfing,Hemisphere-N,oct,surfing
3385,3385,Sep-1970,USA,Swimming,Hemisphere-N,sep,swimming
3389,3389,22-Jun-1970,USA,Fishing,Hemisphere-N,jun,fishing
3397,3397,31-Mar-1970,USA,Body surfing,Hemisphere-N,mar,surfing
3416,3416,30-Nov-1969,AUSTRALIA,Swimming,Hemisphere-S,nov,swimming
3422,3422,22-Aug-1969,USA,Fishing,Hemisphere-N,aug,fishing
3423,3423,02-Aug-1969,USA,Surfing,Hemisphere-N,aug,surfing
3424,3424,02-Aug-1969,USA,Body surfing,Hemisphere-N,aug,surfing
3432,3432,25-May-1969,USA,Surf-fishing,Hemisphere-N,may,fishing
3437,3437,19-Aug-1969,USA,Fishing,Hemisphere-N,aug,fishing
3439,3439,09-Mar-1969,USA,Surfing,Hemisphere-N,mar,surfing
3447,3447,25-Dec-1968,NEW ZEALAND,Surfing,Hemisphere-S,dec,surfing
3449,3449,02-Dec-1968,SOUTH AFRICA,Spearfishing,Hemisphere-S,dec,spearfishing
3451,3451,06-Nov-1968,SOUTH AFRICA,Fishing,Hemisphere-S,nov,fishing
3455,3455,13-Oct-1968,USA,Spearfishing using Scuba,Hemisphere-N,oct,spearfishing
3457,3457,22-Sep-1968,USA,Surfing,Hemisphere-N,sep,surfing
3458,3458,15-Sep-1968,NEW ZEALAND,Spearfishing,Hemisphere-S,sep,spearfishing
3466,3466,16-Jul-1968,USA,Spearfishing using Scuba,Hemisphere-N,jul,spearfishing
3480,3480,10-Mar-1968,USA,Surfing,Hemisphere-N,mar,surfing
3482,3482,26-Feb-1968,USA,Surfing,Hemisphere-N,feb,surfing
3483,3483,20-Feb-1968,AUSTRALIA,Swimming,Hemisphere-S,feb,swimming
3485,3485,04-Feb-1968,AUSTRALIA,Spearfishing,Hemisphere-S,feb,spearfishing
3488,3488,17-Jan-1968,PAPUA NEW GUINEA,Swimming,Hemisphere-S,jan,swimming
3492,3492,30-Dec-1967,SOUTH AFRICA,Surfing,Hemisphere-S,dec,surfing
3495,3495,17-Dec-1967,AUSTRALIA,Swimming,Hemisphere-S,dec,swimming
3508,3508,07-Sep-1967,USA,Spearfishing,Hemisphere-N,sep,spearfishing
3509,3509,06-Sep-1967,PAPUA NEW GUINEA,Spearfishing,Hemisphere-S,sep,spearfishing
3510,3510,01-Sep-1967,PAPUA NEW GUINEA,Spearfishing,Hemisphere-S,sep,spearfishing
3514,3514,19-Aug-1967,AUSTRALIA,"Spearfishing, dived to pick up a float line",Hemisphere-S,aug,spearfishing
3518,3518,07-Aug-1967,USA,Spearfishing,Hemisphere-N,aug,spearfishing
3523,3523,Jul-1967,USA,Surfing,Hemisphere-N,jul,surfing
3524,3524,13-Jun-1967,USA,Spearfishing,Hemisphere-N,jun,spearfishing
3530,3530,19-Mar-1967,SOUTH AFRICA,Spearfishing,Hemisphere-S,mar,spearfishing
3531,3531,12-Mar-1967,AUSTRALIA,Spearfishing,Hemisphere-S,mar,spearfishing
3536,3536,27-Jan-1967,SOUTH AFRICA,Fishing for rock lobster,Hemisphere-S,jan,fishing
3537,3537,22-Jan-1967,SOUTH AFRICA,Spearfishing Competition,Hemisphere-S,jan,spearfishing
3540,3540,31-Dec-1966,AUSTRALIA,Fishing,Hemisphere-S,dec,fishing
3541,3541,27-Dec-1966,AUSTRALIA,Spearfishing,Hemisphere-S,dec,spearfishing
3542,3542,27-Dec-1966,AUSTRALIA,Spearfishing,Hemisphere-S,dec,spearfishing
3544,3544,26-Dec-1966,AUSTRALIA,Spearfishing,Hemisphere-S,dec,spearfishing
3547,3547,30-Oct-1966,PAPUA NEW GUINEA,Swimming,Hemisphere-S,oct,swimming
3548,3548,19-Oct-1966,PAPUA NEW GUINEA,Bathing,Hemisphere-S,oct,bathing
3550,3550,19-Sep-1966,USA,Fishing,Hemisphere-N,sep,fishing
3551,3551,18-Sep-1966,AUSTRALIA,Spearfishing,Hemisphere-S,sep,spearfishing
3552,3552,13-Sep-1966,AUSTRALIA,Spearfishing,Hemisphere-S,sep,spearfishing
3553,3553,10-Sep-1966,AUSTRALIA,Spearfishing,Hemisphere-S,sep,spearfishing
3568,3568,17-Jul-1966,USA,Fishing,Hemisphere-N,jul,fishing
3570,3570,14-Jul-1966,PAPUA NEW GUINEA,Swimming,Hemisphere-S,jul,swimming
3574,3574,11-Jun-1966,USA,Fishing,Hemisphere-N,jun,fishing
3575,3575,04-Jun-1966,USA,Swimming,Hemisphere-N,jun,swimming
3578,3578,20-May-1966,AUSTRALIA,Fishing,Hemisphere-S,may,fishing
3580,3580,16-May-1966,USA,Spearfishing / Scuba diving,Hemisphere-N,may,spearfishing
3582,3582,08-Apr-1966,USA,Swimming,Hemisphere-N,apr,swimming
3584,3584,20-Mar-1966,AUSTRALIA,Fishing (big game),Hemisphere-S,mar,fishing
3589,3589,22-Jan-1966,USA,Free diving / spearfishing (resting on the surface),Hemisphere-N,jan,spearfishing
3590,3590,15-Jan-1966,AUSTRALIA,Spearfishing,Hemisphere-S,jan,spearfishing
3594,3594,09-Jan-1966,SOUTH AFRICA,Body surfing,Hemisphere-S,jan,surfing
3595,3595,08-Jan-1966,NEW ZEALAND,Body surfing ,Hemisphere-S,jan,surfing
3596,3596,05-Jan-1966,USA,Swimming,Hemisphere-N,jan,swimming
3598,3598,28-Dec-1965,AUSTRALIA,"Spearfishing, but standing in knee-deep water",Hemisphere-S,dec,spearfishing
3600,3600,10-Dec-1965,AUSTRALIA,Fishing,Hemisphere-S,dec,fishing
3601,3601,21-Nov-1965,AUSTRALIA,Fishing from 34' boat when pulled overboard by hooked shark,Hemisphere-S,nov,fishing
3604,3604,03-Nov-1965,AUSTRALIA,Surfing,Hemisphere-S,nov,surfing
3611,3611,12-Sep-1965,PAPUA NEW GUINEA,Fishing (rod & line),Hemisphere-S,sep,fishing
3614,3614,26-Aug-1965,USA,Swimming,Hemisphere-N,aug,swimming
3621,3621,Jun-1965,PAPUA NEW GUINEA,Spearfishing,Hemisphere-S,jun,spearfishing
3629,3629,25-Apr-1965,USA,Surfing,Hemisphere-N,apr,surfing
3630,3630,10-Apr-1965,USA,Spearfishing,Hemisphere-N,apr,spearfishing
3639,3639,16-Jan-1965,SOUTH AFRICA,Body surfing,Hemisphere-S,jan,surfing
3640,3640,10-Jan-1965,AUSTRALIA,Swimming,Hemisphere-S,jan,swimming
3649,3649,25-Dec-1964,SOUTH AFRICA,Swimming,Hemisphere-S,dec,swimming
3651,3651,10-Dec-1964,AUSTRALIA,Fishing,Hemisphere-S,dec,fishing
3652,3652,09-Dec-1964,PAPUA NEW GUINEA,"Canoe swamped, swimming back to canoe",Hemisphere-S,dec,swimming
3655,3655,18-Nov-1964,AUSTRALIA,Swimming out to rescue swimmers in difficulty,Hemisphere-S,nov,swimming
3657,3657,05-Nov-1964,USA,Longline fishing,Hemisphere-N,nov,fishing
3658,3658,31-Oct-1964,SOUTH AFRICA,Surf fishing,Hemisphere-S,oct,fishing
3660,3660,04-Oct-1964,AUSTRALIA,"Surfing, but swimming to his board",Hemisphere-S,oct,swimming
3664,3664,26-Aug-1964,USA,Swimming,Hemisphere-N,aug,swimming
3666,3666,22-Aug-1964,USA,Spearfishing / free diving,Hemisphere-N,aug,spearfishing
3667,3667,21-Aug-1964,USA,Swimming,Hemisphere-N,aug,swimming
3668,3668,08-Aug-1964,USA,Spearfishing using scuba,Hemisphere-N,aug,spearfishing
3674,3674,10-Jul-1964,SOUTH AFRICA,Spearfishing ,Hemisphere-S,jul,spearfishing
3676,3676,Jul-1964,PAPUA NEW GUINEA,Standing / fishing,Hemisphere-S,jul,fishing
3680,3680,24-Jun-1964,USA,Fishing,Hemisphere-N,jun,fishing
3681,3681,17-Jun-1964,PAPUA NEW GUINEA,Fishing,Hemisphere-S,jun,fishing
3683,3683,02-Jun-1964,SOUTH AFRICA,Swimming,Hemisphere-S,jun,swimming
3687,3687,07-Apr-1964,PAPUA NEW GUINEA,Fishing,Hemisphere-S,apr,fishing
3688,3688,28-Mar-1964,AUSTRALIA,Surfing,Hemisphere-S,mar,surfing
3696,3696,10-Feb-1964,NEW ZEALAND,Spearfishing,Hemisphere-S,feb,spearfishing
3699,3699,05-Feb-1964,NEW ZEALAND,Swimming,Hemisphere-S,feb,swimming
3700,3700,02-Feb-1964,AUSTRALIA,Swimming,Hemisphere-S,feb,swimming
3705,3705,23-Jan-1964,SOUTH AFRICA,Body surfing,Hemisphere-S,jan,surfing
3709,3709,11-Jan-1964,USA,Spearfishing / Scuba diving (at surface),Hemisphere-N,jan,spearfishing
3716,3716,26-Dec-1963,SOUTH AFRICA,Swimming ,Hemisphere-S,dec,swimming
3718,3718,25-Dec-1963,SOUTH AFRICA,Swimming,Hemisphere-S,dec,swimming
3721,3721,21-Dec-1963,AUSTRALIA,Fishing,Hemisphere-S,dec,fishing
3722,3722,20-Dec-1963,SOUTH AFRICA,Spearfishing,Hemisphere-S,dec,spearfishing
3724,3724,08-Dec-1963,AUSTRALIA,Spearfishing,Hemisphere-S,dec,spearfishing
3727,3727,30-Nov-1963,PAPUA NEW GUINEA,Fishing / standing in waist deep water,Hemisphere-S,nov,fishing
3735,3735,16-Oct-1963,USA,"Surf fishing, wading ",Hemisphere-N,oct,fishing
3738,3738,26-Sep-1963,USA,"Commercial fishing vessel, Ev-nn, struck object & sank. Ken Crosby and  Jame & Ann Dumas adrift on makeshift raft.",Hemisphere-N,sep,fishing
3740,3740,13-Sep-1963,AUSTRALIA,Surfing,Hemisphere-S,sep,surfing
3741,3741,10-Sep-1963,USA,"Spearfishing, pulled sharkâs tail",Hemisphere-N,sep,spearfishing
3744,3744,15-Jul-1963,USA,Bathing,Hemisphere-N,jul,bathing
3745,3745,11-Jul-1963,USA,"Fishing, on charter boat Silver Dollar",Hemisphere-N,jul,fishing
3749,3749,01-Jun-1963,PAPUA NEW GUINEA,Fishing,Hemisphere-S,jun,fishing
3750,3750,18-May-1963,USA,Swimming,Hemisphere-N,may,swimming
3752,3752,22-Apr-1963,AUSTRALIA,Fishing,Hemisphere-S,apr,fishing
3753,3753,20-Apr-1963,USA,Swimming,Hemisphere-N,apr,swimming
3754,3754,17-Apr-1963,SOUTH AFRICA,Swimming,Hemisphere-S,apr,swimming
3755,3755,13-Apr-1963,AUSTRALIA,"Surfing on ""chest board"" (boogie board?)",Hemisphere-S,apr,surfing
3756,3756,12-Apr-1963,USA,Surfing ,Hemisphere-N,apr,surfing
3759,3759,27-Feb-1963,PAPUA NEW GUINEA,Swimming,Hemisphere-S,feb,swimming
3760,3760,24-Feb-1963,AUSTRALIA,Spearfishing,Hemisphere-S,feb,spearfishing
3766,3766,26-Jan-1963,AUSTRALIA,Swimming,Hemisphere-S,jan,swimming
3767,3767,22-Jan-1963,SOUTH AFRICA,Fishing ,Hemisphere-S,jan,fishing
3768,3768,14-Jan-1963,NEW ZEALAND,Fishing,Hemisphere-S,jan,fishing
3769,3769,12-Jan-1963,SOUTH AFRICA,Fishing,Hemisphere-S,jan,fishing
3771,3771,06-Jan-1963,SOUTH AFRICA,Spearfishing,Hemisphere-S,jan,spearfishing
3772,3772,04-Jan-1963,AUSTRALIA,Shark fishing,Hemisphere-S,jan,fishing
3777,3777,09-Dec-1962,AUSTRALIA,Spearfishing,Hemisphere-S,dec,spearfishing
3778,3778,Dec-1962,SOUTH AFRICA,Fishing,Hemisphere-S,dec,fishing
3779,3779,29-Nov-1962,AUSTRALIA,"Spearfishing, Scuba diving",Hemisphere-S,nov,spearfishing
3781,3781,11-Nov-1962,USA,Spearfishing / Scuba diving (at surface),Hemisphere-N,nov,spearfishing
3782,3782,10-Nov-1962,AUSTRALIA,Fishing,Hemisphere-S,nov,fishing
3784,3784,28-Oct-1962,SOUTH AFRICA,Spearfishing,Hemisphere-S,oct,spearfishing
3788,3788,06-Oct-1962,USA,"Overcome by CO fumes, fell overboard from 36' fishing cruiser & prop slashed arm",Hemisphere-N,oct,fishing
3796,3796,30-Aug-1962,PAPUA NEW GUINEA,Fishing,Hemisphere-S,aug,fishing
3799,3799,23-Aug-1962,SOUTH AFRICA,Fishing,Hemisphere-S,aug,fishing
3800,3800,19-Aug-1962,USA,Surf fishing in waist-deep water,Hemisphere-N,aug,fishing
3802,3802,01-Aug-1962,PAPUA NEW GUINEA,Spearfishing,Hemisphere-S,aug,spearfishing
3807,3807,19-Jul-1962,USA,Fishing for albacore,Hemisphere-N,jul,fishing
3819,3819,07-Jun-1962,AUSTRALIA,Fishing,Hemisphere-S,jun,fishing
3825,3825,20-Apr-1962,AUSTRALIA,Fishing,Hemisphere-S,apr,fishing
3828,3828,05-Apr-1962,SOUTH AFRICA,Fishing,Hemisphere-S,apr,fishing
3830,3830,25-Mar-1962,AUSTRALIA,Fishing & spearfishing,Hemisphere-S,mar,spearfishing
3831,3831,24-Mar-1962,PAPUA NEW GUINEA,Swimming,Hemisphere-S,mar,swimming
3832,3832,23-Feb-1962,PAPUA NEW GUINEA,Swimming along a row of nets,Hemisphere-S,feb,swimming
3833,3833,18-Feb-1962,NEW ZEALAND,Swimming,Hemisphere-S,feb,swimming
3834,3834,15-Feb-1962,AUSTRALIA,Fishing for snappers & cleaning mullet. Put mullet over side of boat to wash it,Hemisphere-S,feb,fishing
3835,3835,07-Feb-1962,SOUTH AFRICA,Swimming,Hemisphere-S,feb,swimming
3837,3837,04-Feb-1962,AUSTRALIA,Swimming,Hemisphere-S,feb,swimming
3838,3838,02-Feb-1962,NEW ZEALAND,Fishing,Hemisphere-S,feb,fishing
3842,3842,21-Jan-1962,AUSTRALIA,Spearfishing,Hemisphere-S,jan,spearfishing
3843,3843,18-Jan-1962,SOUTH AFRICA,"Fishing, slipped on rocks & fell into sea",Hemisphere-S,jan,fishing
3844,3844,16-Jan-1962,NEW ZEALAND,Fishing,Hemisphere-S,jan,fishing
3845,3845,15-Jan-1962,NEW ZEALAND,Spearfishing,Hemisphere-S,jan,spearfishing
3846,3846,14-Jan-1962,USA,Spearfishing / Scuba diving (at surface),Hemisphere-N,jan,spearfishing
3847,3847,14-Jan-1962,AUSTRALIA,Spearfishing,Hemisphere-S,jan,spearfishing
3848,3848,14-Jan-1962,AUSTRALIA,Surfing,Hemisphere-S,jan,surfing
3849,3849,11-Jan-1962,AUSTRALIA,Fishing,Hemisphere-S,jan,fishing
3850,3850,11-Jan-1962,PAPUA NEW GUINEA,Spearfishing,Hemisphere-S,jan,spearfishing
3851,3851,11-Jan-1962,NEW ZEALAND,Surf fishing,Hemisphere-S,jan,fishing
3852,3852,10-Jan-1962,AUSTRALIA,Fishing for sharks,Hemisphere-S,jan,fishing
3853,3853,08-Jan-1962,AUSTRALIA,Swimming,Hemisphere-S,jan,swimming
3855,3855,07-Jan-1962,AUSTRALIA,Surfing,Hemisphere-S,jan,surfing
3856,3856,06-Jan-1962,SOUTH AFRICA,Fishing,Hemisphere-S,jan,fishing
3857,3857,02-Jan-1962,AUSTRALIA,Fishing,Hemisphere-S,jan,fishing
3865,3865,27-Dec-1961,AUSTRALIA,Spearfishing,Hemisphere-S,dec,spearfishing
3866,3866,19-Dec-1961,AUSTRALIA,"Fishing, hauling in a 5-lb snapper",Hemisphere-S,dec,fishing
3868,3868,18-Dec-1961,AUSTRALIA,"Surfing, pushing board ashore",Hemisphere-S,dec,surfing
3869,3869,13-Dec-1961,AUSTRALIA,Swimming with other crew near wharf,Hemisphere-S,dec,swimming
3872,3872,09-Oct-1961,USA,Swimming,Hemisphere-N,oct,swimming
3882,3882,20-Aug-1961,USA,Swimming,Hemisphere-N,aug,swimming
3885,3885,02-Aug-1961,USA,"Net fishing, picking catch from the net",Hemisphere-N,aug,fishing
3886,3886,01-Aug-1961,PAPUA NEW GUINEA,"Fishing, two large sharks passed. He speared one and it bit him",Hemisphere-S,aug,fishing
3887,3887,29-Jul-1961,USA,Spearfishing,Hemisphere-N,jul,spearfishing
3889,3889,07-Jul-1961,AUSTRALIA,Shark fishing,Hemisphere-S,jul,fishing
3892,3892,24-Jun-1961,USA,Scuba diving & spearfishing ,Hemisphere-N,jun,spearfishing
3896,3896,01-Jun-1961,PAPUA NEW GUINEA,"Fishing, speared shark upset canoe & man fell in water",Hemisphere-S,jun,fishing
3900,3900,07-May-1961,AUSTRALIA,Spearfishing,Hemisphere-S,may,spearfishing
3902,3902,25-Apr-1961,AUSTRALIA,Spearfishing,Hemisphere-S,apr,spearfishing
3905,3905,16-Apr-1961,USA,Spearfishing,Hemisphere-N,apr,spearfishing
3906,3906,16-Apr-1961,AUSTRALIA,Spearfishing,Hemisphere-S,apr,spearfishing
3910,3910,03-Apr-1961,AUSTRALIA,Spearfishing,Hemisphere-S,apr,spearfishing
3911,3911,Apr-1961,AUSTRALIA,Spearfishing,Hemisphere-S,apr,spearfishing
3912,3912,30-Mar-1961,AUSTRALIA,Spearfishing,Hemisphere-S,mar,spearfishing
3913,3913,18-Mar-1961,AUSTRALIA,Swimming,Hemisphere-S,mar,swimming
3914,3914,14-Mar-1961,AUSTRALIA,Fishing from dinghy,Hemisphere-S,mar,fishing
3915,3915,12-Mar-1961,AUSTRALIA,Spearfishing,Hemisphere-S,mar,spearfishing
3917,3917,07-Mar-1961,SOUTH AFRICA,Fishing,Hemisphere-S,mar,fishing
3922,3922,12-Feb-1961,SOUTH AFRICA,"Spearfishing, shark grabbed his white t-shirt and towed him ",Hemisphere-S,feb,spearfishing
3923,3923,01-Feb-1961,SOUTH AFRICA,Swimming,Hemisphere-S,feb,swimming
3926,3926,25-Jan-1961,SOUTH AFRICA,Fishing for kob,Hemisphere-S,jan,fishing
3927,3927,22-Jan-1961,SOUTH AFRICA,Swimming,Hemisphere-S,jan,swimming
3931,3931,06-Jan-1961,AUSTRALIA,Fishing,Hemisphere-S,jan,fishing
3941,3941,27-Dec-1960,USA,Swept out to sea while net fishing,Hemisphere-N,dec,fishing
3943,3943,24-Dec-1960,SOUTH AFRICA,Swimming,Hemisphere-S,dec,swimming
3944,3944,20-Dec-1960,AUSTRALIA,"Fishing, when line became snagged on rock & he dived into water to free it ",Hemisphere-S,dec,fishing
3945,3945,01-Dec-1960,AUSTRALIA,Fishing,Hemisphere-S,dec,fishing
3946,3946,27-Nov-1960,AUSTRALIA,Swimming,Hemisphere-S,nov,swimming
3948,3948,11-Nov-1960,AUSTRALIA,Chasing shark out of bathing area while riding on a surf-ski,Hemisphere-S,nov,bathing
3949,3949,06-Nov-1960,AUSTRALIA,"Spearfishing, speared fish retreated to cave where shark grabbed his arm",Hemisphere-S,nov,spearfishing
3952,3952,Nov-1960,PAPUA NEW GUINEA,Fishing,Hemisphere-S,nov,fishing
3954,3954,24-Oct-1960,SOUTH AFRICA,Fishing for rock lobsters,Hemisphere-S,oct,fishing
3955,3955,01-Oct-1960,AUSTRALIA,Fishing,Hemisphere-S,oct,fishing
3959,3959,Oct-1960,SOUTH AFRICA,Fishing,Hemisphere-S,oct,fishing
3961,3961,24-Sep-1960,USA,Fishing inside net,Hemisphere-N,sep,fishing
3966,3966,30-Aug-1960,USA,Swimming 3 miles offshore,Hemisphere-N,aug,swimming
3976,3976,04-Aug-1960,USA,"Fishing, Struck by another shark when removing shark from line",Hemisphere-N,aug,fishing
3977,3977,Aug-1960,USA,Swimming from camp,Hemisphere-N,aug,swimming
3978,3978,27-Jul-1960,PAPUA NEW GUINEA,Spearfishing,Hemisphere-S,jul,spearfishing
3980,3980,03-Jul-1960,USA,"Fishing, tossing netted shark onboard",Hemisphere-N,jul,fishing
3981,3981,02-Jul-1960,PAPUA NEW GUINEA,Fishing,Hemisphere-S,jul,fishing
3982,3982,29-Jun-1960,USA,Surf fishing,Hemisphere-N,jun,fishing
3983,3983,27-Jun-1960,NEW ZEALAND,Shark fishing,Hemisphere-S,jun,fishing
3988,3988,04-Jun-1960,USA,Swimming,Hemisphere-N,jun,swimming
3991,3991,19-May-1960,USA,Swimming ,Hemisphere-N,may,swimming
3996,3996,22-Apr-1960,AUSTRALIA,"Fishing, hauling in a set line",Hemisphere-S,apr,fishing
3999,3999,12-Apr-1960,AUSTRALIA,Surfing,Hemisphere-S,apr,surfing
4000,4000,10-Apr-1960,AUSTRALIA,"Spearfishing, shot a sandtiger shark. Cord to spear tangled round his legs & a wave washed him onto a reef.",Hemisphere-S,apr,spearfishing
4001,4001,03-Apr-1960,AUSTRALIA,Spearfishing,Hemisphere-S,apr,spearfishing
4003,4003,01-Apr-1960,AUSTRALIA,Shark fishing,Hemisphere-S,apr,fishing
